Designator,Mid X,Mid Y,Rotation,Layer
_67,155.448,-64.477733,90.0,top
_66,101.727,-63.5,90.0,top
_65,101.727,-67.497,90.0,top
_64,124.841,-64.513,90.0,top
_63,98.679,-66.167,90.0,top
_62,135.128,-63.183,90.0,top
_61,142.7988,-74.5236,180.0,top
_60,124.841,-65.853,90.0,top
_59,114.2492,-62.4078,0.0,top
_58,133.604,-67.183,90.0,top
_57,158.5468,-70.7136,90.0,top
_56,140.5636,-66.421,90.0,top
_55,97.155,-64.833333,90.0,top
_54,130.5052,-67.183,90.0,top
_53,89.6874,-62.2554,0.0,top
_52,116.3574,-66.3448,0.0,top
_51,123.317,-65.853,90.0,top
_50,155.448,-73.380266,90.0,top
_49,153.924,-73.380266,90.0,top
_48,133.604,-64.516333,90.0,top
_47,153.924,-64.477733,90.0,top
_46,157.0228,-64.477733,90.0,top
_45,130.5052,-65.849666,90.0,top
_44,118.2624,-70.8914,0.0,top
_43,98.679,-63.5,90.0,top
_42,158.5468,-73.380266,90.0,top
_41,126.365,-63.183,90.0,top
_40,100.203,-74.549,90.0,top
_39,155.448,-63.1444,90.0,top
_38,130.5052,-63.183,90.0,top
_37,153.924,-70.7136,90.0,top
_36,112.014,-61.6204,0.0,top
_35,144.9578,-75.311,180.0,top
_34,149.4282,-70.6628,270.0,top
_33,114.2492,-64.1858,0.0,top
_32,98.679,-73.219,90.0,top
_31,101.727,-73.219,90.0,top
_30,101.727,-74.549,90.0,top
_29,97.155,-71.8536,90.0,top
_28,132.0292,-63.183,90.0,top
_27,151.7142,-68.5038,270.0,top
_26,153.924,-72.046933,90.0,top
_25,138.2776,-68.58,90.0,top
_24,123.317,-63.183,90.0,top
_23,158.5468,-63.1444,90.0,top
_22,100.203,-66.167,90.0,top
_21,121.793,-67.183,90.0,top
_20,109.855,-75.057,0.0,top
_19,155.448,-65.811066,90.0,top
_18,100.203,-64.83,90.0,top
_17,157.0228,-70.7136,90.0,top
_16,157.0228,-63.1444,90.0,top
_15,111.9886,-75.6666,0.0,top
_14,135.128,-67.183,90.0,top
_13,135.128,-65.849666,90.0,top
_12,142.8242,-64.1604,0.0,top
_11,101.727,-64.83,90.0,top
_10,132.0292,-64.516333,90.0,top
_9,118.9482,-68.6308,0.0,top
_8,132.0292,-65.849666,90.0,top
_7,150.9268,-70.6628,270.0,top
_6,133.604,-65.849666,90.0,top
_5,155.448,-70.7136,90.0,top
_4,135.128,-64.516333,90.0,top
_3,142.7988,-73.025,180.0,top
_2,100.203,-67.497,90.0,top
,121.793,-63.183,90.0,top
C1,113.411,-91.2622,0.0,top
C10,168.91,-100.457,90.0,top
C11,127.1778,-96.0374,0.0,top
C12,142.367,-100.203,90.0,top
C13,128.082,-101.031,0.0,top
C14,128.1582,-107.635,180.0,top
C15,131.318,-104.14,90.0,top
C16,146.247,-101.346,180.0,top
C17,136.1205,-103.6574,180.0,top
C18,136.1205,-106.045,180.0,top
C19,174.244,-97.282,180.0,top
C2,112.8827,-100.8939,0.0,top
C20,175.768,-94.996,180.0,top
C21,173.9036,-86.6648,180.0,top
C22,169.3965,-90.866,90.0,top
C23,173.863,-82.296,180.0,top
C24,170.2266,-82.3448,0.0,top
C25,162.1575,-90.739,180.0,top
C26,139.319,-104.394,90.0,top
C3,125.0188,-100.396,90.0,top
C4,119.1006,-91.313,0.0,top
C5,146.238,-99.187,0.0,top
C6,108.2294,-105.4608,270.0,top
C7,142.7262,-83.7184,180.0,top
C8,119.3597,-100.7669,0.0,top
C9,152.654,-100.0252,270.0,top
D1,104.6988,-105.1814,270.0,top
D2,138.8927,-90.984148,0.0,top
D3,138.8927,-87.428148,0.0,top
D4,166.4755,-92.771,270.0,top
F1,177.673,-86.741,90.0,top
J1,84.6399,-92.9894,270.0,top
J2,147.574,-94.361,270.0,top
L1,163.322,-85.1275,180.0,top
PS1,116.2602,-96.1949,270.0,top
R1,136.1205,-108.331,0.0,top
R10,157.020524,-84.683048,180.0,top
R11,157.020524,-86.715048,180.0,top
R12,142.6246,-91.0082,0.0,top
R13,142.6265,-87.4268,0.0,top
R14,156.9212,-91.0317,180.0,top
R15,153.1112,-108.0516,90.0,top
R16,168.91,-107.696,270.0,top
R17,131.191,-96.012,180.0,top
R18,128.0395,-98.933,180.0,top
R2,149.352,-100.203,90.0,top
R20,178.181,-90.932,90.0,top
R21,171.831,-94.996,0.0,top
R22,170.2266,-86.6628,0.0,top
R23,170.2481,-84.5058,0.0,top
R24,173.9036,-84.5058,0.0,top
R3,95.6056,-83.185,0.0,top
R4,95.5548,-89.5096,180.0,top
R5,95.5548,-95.9866,0.0,top
R6,95.504,-102.5398,180.0,top
R7,128.1055,-103.19,0.0,top
R8,128.1328,-105.3998,0.0,top
R9,157.020524,-88.747048,0.0,top
RV1,145.786,-106.807,0.0,top
U1,116.4252,-105.3389,0.0,top
U2,137.3414,-100.203,270.0,top
U3,128.4478,-81.9344,0.0,top
U4,149.123024,-87.9348,270.0,top
U5,160.655,-104.1908,270.0,top
U6,173.863,-90.932,270.0,top
